,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Oranjemund,-28.55,16.43,64.63,91,0,25.34
1,Mayo,63.59,-135.9,-14.81,75,5,4.54
2,Lasa,34.92,32.53,60.8,59,40,21.92
3,Ahuimanu,21.44,-157.84,69.8,87,75,14.99
4,Kallithea,37.96,23.7,53.01,50,75,5.82
5,Hobyo,5.35,48.53,79.44,76,0,12.82
6,Le Mars,42.79,-96.17,5.0,71,75,10.29
7,Hasaki,35.73,140.83,43.0,93,75,9.17
8,Cabo San Lucas,22.89,-109.91,66.0,66,5,6.93
9,Kirensk,57.78,108.12,18.06,77,64,3.2
10,South Lake Tahoe,38.93,-119.98,44.01,80,90,6.93
11,Songjianghe,42.18,127.48,21.88,85,88,4.05
12,Lubsko,51.79,14.97,60.01,62,0,10.29
13,Coihaique,-45.58,-72.07,53.6,66,75,4.7
14,Voyvozh,62.89,54.96,-2.56,58,20,5.73
15,Kastamonu,41.38,33.78,28.81,76,88,5.21
16,Saskylakh,71.97,114.09,-23.17,33,56,3.09
17,Chunoyar,57.45,97.32,27.91,87,76,5.73
18,Persianovskiy,47.51,40.11,37.4,92,40,6.71
19,Te Anau,-45.41,167.72,38.49,93,68,2.86
20,Nizwa,22.93,57.53,71.79,31,0,5.32
21,Dikson,73.51,80.55,1.0,89,48,25.41
22,Kenai,60.55,-151.26,23.0,85,90,12.75
23,Oktyabrskoye,56.73,85.44,26.6,86,40,8.95
24,Wajid,3.81,43.25,95.28,15,0,9.08
25,Ketchikan,55.34,-131.65,35.6,69,1,9.17
26,Iquitos,-3.75,-73.25,42.8,319,0,4.7
27,Hermanus,-34.42,19.24,72.0,57,68,5.99
28,Port Lincoln,-34.72,135.86,64.77,100,0,8.3
29,Port Hawkesbury,45.62,-61.36,9.0,80,68,18.01
30,Alofi,-19.06,-169.92,80.6,83,64,12.75
31,Axim,4.87,-2.24,85.29,92,8,14.12
32,Martinsville,36.69,-79.87,43.0,52,75,3.83
33,Puerto Cabezas,14.04,-83.39,82.4,88,75,9.17
34,Chapais,49.78,-74.86,-18.41,75,1,2.24
35,Parrita,9.52,-84.33,73.0,72,20,13.87
36,Simpang,4.82,100.71,84.2,83,75,1.12
37,Touros,-5.2,-35.46,87.8,70,75,10.29
38,Portel,38.31,-7.71,64.4,48,20,3.36
39,Vao,59.1,26.19,36.55,82,32,11.36
40,Bingol,38.88,40.49,35.88,91,80,2.53
41,Panaba,21.28,-88.27,81.55,60,12,5.61
42,Barreiras,-12.14,-45.0,79.66,85,68,4.5
43,Aksarka,66.56,67.8,1.68,68,64,26.75
44,Vera Cruz,-22.22,-49.82,73.45,100,92,4.5
45,Aguimes,27.91,-15.45,71.01,64,20,23.04
46,Vostok,46.45,135.83,7.3,65,32,2.48
47,Shimoda,34.7,138.93,51.8,62,75,5.82
48,Guerrero Negro,27.97,-114.04,55.09,94,92,6.85
49,Aklavik,68.22,-135.01,3.2,84,5,3.36
50,Longyearbyen,78.22,15.63,3.2,65,20,4.7
51,Todos Santos,23.45,-110.23,66.0,66,5,6.93
52,Srednekolymsk,67.46,153.71,-10.3,69,64,5.39
53,Usinsk,66.0,57.56,11.22,75,80,15.39
54,Puro,13.13,123.76,73.14,84,0,8.41
55,Azovskaya,44.79,38.62,39.0,92,0,2.24
56,Saint-Leu,-21.15,55.28,86.0,70,0,6.93
57,Port Hedland,-20.31,118.58,82.4,88,32,6.93
58,Tabas,33.6,56.92,59.28,24,88,14.45
59,Padang,-0.92,100.36,78.8,94,20,2.24
60,Carnarvon,-30.97,22.13,78.81,14,8,11.59
61,Dingle,11.0,122.67,74.31,72,0,12.1
62,Sur,22.57,59.53,74.22,86,0,19.86
63,Languyan,48.3,-3.83,71.6,37,0,6.93
64,New Norfolk,-42.78,147.06,55.4,76,0,3.36
65,Alvaraes,-3.22,-64.8,78.8,94,75,2.71
66,Thompson,55.74,-97.86,-4.01,83,75,4.7
67,Puerto Madero,-34.61,-58.36,77.0,40,0,11.41
68,Hilo,19.71,-155.08,64.99,88,90,12.75
69,Provideniya,64.42,-173.23,27.91,96,76,21.83
70,Poum,41.28,20.71,46.4,31,75,2.75
71,Kaitangata,-46.28,169.85,46.63,87,92,16.69
72,Patitirion,39.15,23.87,50.0,53,40,13.87
73,Hualmay,-11.1,-77.61,79.03,62,8,3.31
74,Amurzet,47.69,131.09,20.58,51,0,7.4
75,Lyngseidet,69.58,20.21,33.8,100,90,11.41
76,Marana,32.44,-111.22,55.0,71,1,9.17
77,Namatanai,-3.66,152.44,78.58,100,76,8.57
78,Huangmei,30.1,115.95,44.11,100,56,3.49
79,Dwarka,28.58,77.04,60.8,55,20,9.17
80,Amot,59.57,7.99,37.99,68,0,6.73
81,San Cristobal,-0.39,-78.55,64.4,68,20,2.24
82,Winnemucca,40.97,-117.74,39.0,96,88,11.99
83,Saint-Augustin,44.83,-0.61,78.8,29,0,4.7
84,Sambava,-14.27,50.17,79.98,100,92,10.36
85,Port-Gentil,-0.72,8.78,89.6,66,40,3.36
86,Astoria,46.19,-123.83,35.01,83,90,9.17
87,Yar-Sale,66.83,70.83,-0.17,64,64,26.19
88,Corner Brook,48.95,-57.95,24.8,73,90,14.99
89,Chase,43.89,-85.64,17.6,85,90,4.7
90,Rovaniemi,66.5,25.72,37.4,74,90,4.7
91,Mandera,3.94,41.86,96.01,19,0,3.0
92,Bambous Virieux,-20.34,57.76,84.2,74,75,12.75
93,Dunedin,-45.87,170.5,48.0,72,36,21.0
94,Djambala,-2.55,14.76,75.25,96,92,8.12
95,Aykhal,65.95,111.51,5.19,70,32,5.5
96,Belmonte,40.36,-7.35,62.01,55,12,5.01
97,Dospat,41.65,24.16,37.68,52,36,4.61
98,Valentin Gomez Farias,24.05,-104.7,51.01,69,5,3.36
99,Lebu,8.96,38.73,69.54,17,0,7.63
100,San Quintin,17.54,120.52,65.44,86,0,1.86
101,Atasu,48.68,71.64,27.91,91,80,6.85
102,Buin,-33.73,-70.74,73.4,38,0,2.24
103,Chicama,-7.84,-79.15,75.2,83,0,5.82
104,Fukue,35.03,136.69,54.0,66,75,4.7
105,Lawrence,38.97,-95.24,21.99,85,90,11.41
106,Zhuanghe,39.7,122.97,32.23,84,0,7.52
107,Luderitz,-26.65,15.16,68.86,71,0,23.96
108,Saint George,39.45,22.34,53.01,40,75,9.17
109,Magadan,59.56,150.8,3.43,100,0,8.79
110,Tiksi,71.64,128.87,-22.81,32,0,3.04
111,Pocri,8.27,-80.55,82.4,65,0,13.33
112,Santa catarina de Tepehuanes,25.34,-105.72,42.27,62,12,2.19
113,Tezu,27.93,96.16,49.6,77,92,1.52
114,Olinda,-2.03,-79.75,81.0,78,75,2.24
115,Georgetown,6.8,-58.16,84.2,78,75,13.87
116,Luanda,-8.83,13.24,84.2,74,75,10.29
117,Jeremie,18.65,-74.12,79.48,87,20,1.36
118,Zhigansk,66.77,123.37,-11.15,54,48,2.53
119,Saint-Georges,46.12,-70.67,-0.01,73,0,7.0
120,Inirida,3.87,-67.92,85.83,55,8,2.53
121,Marsh Harbour,26.54,-77.06,72.64,100,80,16.06
122,Kamloops,50.68,-120.34,1.4,77,5,2.24
123,Avarua,-21.21,-159.78,73.4,100,32,1.12
124,Cayenne,4.94,-52.33,84.2,66,92,18.34
125,East London,-33.02,27.91,73.4,46,0,18.34
126,Sitka,37.17,-99.65,10.99,82,88,14.0
127,Atuona,-9.8,-139.03,80.29,100,48,6.55
128,Uyemskiy,64.47,40.85,21.2,92,90,11.18
129,Mizdah,31.45,12.98,58.74,61,24,5.88
